revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholder_equity,cash,operating_cash_flow,capital_expenditure,company_id,ticker,company_name,source
281724000000,193893000000,128528000000,101832000000,619003000000,275524000000,343479000000,30242000000,136162000000,64551000000,CMP001,MSFT,Microsoft Corporation,alpha_vantage
67358000000,43916000000,20778000000,17087000000,261759000000,218703000000,42508000000,31289000000,31977000000,55663000000,CMP002,ORCL,Oracle Corporation,alpha_vantage
67535000000,40185000000,10325000000,10593000000,151880000000,119140000000,32648000000,13641000000,13192000000,1617000000,CMP003,IBM,IBM Corporation,alpha_vantage
41525000000,32255000000,8917000000,7457000000,112305000000,53163000000,59142000000,7327000000,14996000000,594000000,CMP004,CRM,Salesforce Inc.,alpha_vantage
23769000000,21061000000,8706000000,7130000000,29496000000,17873000000,11623000000,5431000000,10031000000,179000000,CMP005,ADBE,Adobe Inc.,alpha_vantage
13278000000,10295000000,1824000000,1748000000,26038000000,13074000000,12964000000,3726000000,5444000000,868000000,CMP006,NOW,ServiceNow Inc.,alpha_vantage
56654000000,36790000000,11760000000,10180000000,122291000000,75448000000,46843000000,8346000000,14193000000,905000000,CMP007,CSCO,Cisco Systems Inc.,alpha_vantage
9221500000,6769900000,1242900000,1133900000,23576200000,15751800000,7824400000,2268600000,3716000000,246200000,CMP009,PANW,Palo Alto Networks Inc.,alpha_vantage
3427158000,2740201000,-44373000,107741000,6643844000,2911638000,3732206000,401305000,1050135000,49578000,CMP025,DDOG,Datadog Inc.,alpha_vantage
3131244000,2622757000,11393000,45911000,3854151000,1787907000,2066244000,882242000,760717000,53165000,CMP026,HUBS,HubSpot Inc.,alpha_vantage
2463797000,1767739000,-136968000,-71151000,3758848000,806490000,2952358000,1083540000,505148000,4960000,CMP027,MDB,MongoDB Inc.,alpha_vantage
4868769000,3749733000,1123633000,1900148000,11960416000,2152158000,9808258000,1272877000,1989048000,64961000,CMP028,ZM,Zoom Video Communications Inc.,alpha_vantage
4208175000,2302687000,628242000,452031000,11479643000,6502272000,4977371000,930231000,1518765000,819500000,CMP031,AKAM,Akamai Technologies Inc.,alpha_vantage
1610572000,1336440000,60955000,282330000,3179200000,1096613000,2082587000,871157000,371208000,19048000,CMP032,PATH,UiPath Inc.,alpha_vantage
492546000,418404000,5840000,173854000,990515000,719850000,253593000,237402000,114857000,2941000,CMP033,PD,PagerDuty Inc.,alpha_vantage
318857000,239122000,-39097000,-59342000,235533000,421597000,-186064000,42951000,7934000,9954000,CMP034,DOMO,Domo Inc.,alpha_vantage
250268000,77382000,-487670000,-470369000,816273000,162522000,653751000,66197000,-188785000,1908000,CMP035,AI,C3.ai Inc.,alpha_vantage
738182000,495657000,-144757000,-131287000,1113757000,489601000,623767000,124342000,71438000,9588000,CMP036,BRZE,Braze Inc.,alpha_vantage
669125000,554357000,221952000,198320000,1095081000,533928000,561153000,250258000,309400000,4990000,CMP038,QLYS,Qualys Inc.,alpha_vantage
859794000,604754000,11568000,23381000,1726464000,1571734000,154730000,246664000,152134000,7599000,CMP039,RPD,Rapid7 Inc.,alpha_vantage
20158000000,6079000000,4085000000,3313000000,16446000000,6606000000,9786000000,2341000000,4039000000,306000000,CMP042,INFY,Infosys Limited,alpha_vantage
64549310000.0,23680850000.0,9572750000.0,6373390000.0,72563950000.0,37075140000.0,35409120000.0,13184470000.0,11947740000.0,-1425720000.0,CMP054,KPITTECH,KPIT Technologies Limited,yfinance
37574237000.0,14496339000.0,7789951000.0,6284303000.0,39625400000.0,9211983000.0,30413413000.0,1940641000.0,6639810000.0,-106823000.0,CMP055,TATAELXSI,Tata Elxsi Limited,yfinance
7015800000.0,5383460000.0,1255750000.0,1077920000.0,12134330000.0,3008430000.0,9111330000.0,582330000.0,1328490000.0,-1853680000.0,CMP065,EMUDHRA,eMudhra Limited,yfinance
36987500000.0,17261500000.0,5129500000.0,4040000000.0,43088300000.0,13169800000.0,29918500000.0,7043300000.0,5416900000.0,-279900000.0,CMP070,MASTEK,Mastek Limited,yfinance
322100000.0,160400000.0,81000000.0,33100000.0,689100000.0,363100000.0,303600000.0,51100000.0,47900000.0,-7900000.0,CMP079,DATA,GlobalData Plc,yfinance
36800000000,26814000000,9620000000,7161000000,70332054000,25114307000,44732953000,8216502000,8646715308,709833656,CMP081,SAP,SAP SE,alpha_vantage
3370000000,1456000000,222000000,268000000,11983000000,5226000000,6728000000,3433000000,231000000,97000000,CMP098,GRAB,Grab Holdings Limited,alpha_vantage
,,,,,,,,,,CMP100,CSE,CSE Global Limited,yfinance
5168405000,3734287000,1038579000,435868000,13774064000,9843476000,3928867000,1156496000,830618000,143222000,CMP105,OTEX,OpenText Corporation,alpha_vantage
